NanoHarp 250 Histogram Data			02/04/2021 11:41:20 AM
#channels per curve
1075
#display curve no.
0	1	2	3	
#memory block no.
0	1	2	3	
#ns/channel
1024.0000	1024.0000	1024.0000	1024.0000	
#counts
582	362	449	452	
571	358	442	474	
565	364	438	463	
548	361	413	457	
591	376	389	450	
592	341	402	469	
591	367	408	464	
527	338	442	469	
555	371	416	478	
564	357	410	441	
507	325	434	448	
536	330	412	426	
534	327	400	436	
575	377	390	434	
532	341	409	428	
591	364	401	423	
530	307	405	431	
558	334	368	429	
567	338	369	411	
546	344	375	427	
566	339	381	410	
500	334	410	368	
532	360	354	402	
536	307	367	431	
513	338	412	420	
496	317	377	417	
520	346	353	397	
521	347	358	394	
536	326	374	406	
513	323	380	354	
530	298	376	373	
495	336	367	389	
524	298	348	370	
522	313	389	378	
475	307	365	353	
496	300	388	368	
523	313	375	345	
515	281	370	362	
519	295	352	341	
499	281	353	383	
467	286	324	349	
466	292	337	368	
520	282	360	373	
491	325	336	386	
504	305	341	367	
481	289	349	353	
494	265	319	352	
482	305	355	323	
473	274	356	378	
468	266	328	320	
467	277	362	339	
510	276	333	315	
476	248	338	286	
479	272	324	329	
483	269	317	357	
464	254	338	342	
460	282	294	331	
457	245	316	302	
434	267	340	309	
460	293	343	322	
460	286	322	321	
439	248	330	355	
428	297	288	333	
479	260	292	319	
458	278	324	315	
464	242	289	320	
414	245	316	286	
430	248	310	314	
477	258	315	296	
471	244	316	309	
426	290	298	285	
397	214	316	300	
399	268	363	269	
417	265	274	280	
448	265	304	282	
472	263	293	325	
447	241	254	280	
423	253	300	276	
412	222	314	307	
414	219	286	311	
441	229	301	287	
436	235	292	277	
407	229	274	300	
391	239	300	273	
384	230	284	269	
441	261	283	301	
414	236	287	266	
399	222	291	289	
413	189	282	268	
377	236	270	251	
457	222	265	291	
413	236	266	252	
422	215	294	257	
415	239	259	264	
436	233	262	270	
391	247	262	263	
380	234	263	265	
411	219	272	244	
383	212	273	244	
405	232	283	243	
361	224	273	251	
417	221	298	224	
403	204	279	249	
372	225	257	220	
369	210	272	218	
408	217	284	248	
428	218	269	256	
369	199	244	249	
396	225	223	217	
