NanoHarp 250 Histogram Data			02/04/2021 12:12:20 PM
#channels per curve
1075
#display curve no.
0	1	2	
#memory block no.
0	1	2	
#ns/channel
1024.0000	1024.0000	1024.0000	
#counts
145	163	145	
171	162	150	
129	147	122	
160	155	140	
145	162	134	
139	159	134	
138	155	137	
162	147	154	
126	158	124	
157	155	127	
124	161	128	
131	155	146	
146	161	155	
148	150	142	
134	145	153	
131	162	128	
153	155	127	
126	159	122	
149	158	132	
131	171	134	
150	148	113	
149	159	132	
144	150	145	
145	161	129	
132	123	110	
133	163	124	
130	151	118	
120	139	111	
142	134	110	
137	138	115	
122	136	114	
144	152	115	
136	141	109	
124	114	135	
146	144	103	
122	150	125	
139	144	145	
108	140	112	
137	134	131	
118	155	131	
117	132	115	
125	146	102	
142	150	118	
124	158	109	
122	102	114	
134	138	121	
111	123	108	
108	134	127	
127	159	143	
123	144	123	
109	141	125	
122	123	133	
115	115	122	
119	127	135	
101	152	110	
120	138	107	
126	143	111	
116	148	122	
118	149	95	
106	121	110	
119	122	107	
109	107	114	
112	143	101	
120	134	112	
105	125	111	
120	138	125	
115	122	106	
108	121	110	
112	117	108	
98	145	108	
125	132	96	
112	127	121	
116	127	98	
112	120	104	
98	129	96	
108	109	90	
116	126	81	
125	142	103	
118	121	97	
90	124	93	
109	120	124	
121	111	126	
106	126	106	
101	129	119	
109	110	98	
95	128	101	
110	123	110	
97	126	112	
134	120	97	
104	98	95	
97	104	110	
96	118	92	
92	105	96	
100	124	99	
99	134	115	
96	115	89	
114	114	78	
86	126	105	
101	98	85	
85	105	101	
112	108	101	
120	111	98	
84	97	98	
117	121	97	
105	116	89	
94	112	100	
97	94	83	
104	107	84	
110	104	104	
84	117	98	
104	113	81	
108	98	83	
94	119	93	
81	97	92	
93	114	99	
100	112	83	
91	94	98	
99	125	94	
95	111	96	
82	134	98	
85	118	105	
98	105	109	
98	108	96	
88	91	91	
85	122	92	
100	109	79	
98	108	90	
88	104	89	
98	108	92	
89	92	82	
95	110	81	
90	109	79	
84	103	107	
78	98	83	
80	83	90	
103	118	84	
83	104	85	
79	102	60	
79	110	87	
90	110	83	
95	113	71	
73	91	77	
87	118	90	
82	94	82	
80	105	76	
75	103	89	
80	98	82	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
